Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
    Mobile home,"18,161","Wake County, North Carolina!!Estimate","12,647"
"    Boat, RV, van, etc.",661,"Wake County, North Carolina!!Estimate",0
YEAR STRUCTURE BUILT,,"Wake County, North Carolina!!Estimate",
    Total housing units,"631,955","Wake County, North Carolina!!Estimate","372,737"
    Built 2005 or later,"27,044","Wake County, North Carolina!!Estimate","57,044"
    Built 2000 to 2004,"37,364","Wake County, North Carolina!!Estimate","64,024"
    Built 1990 to 1999,"66,881","Wake County, North Carolina!!Estimate","87,755"
    Built 1980 to 1989,"75,301","Wake County, North Carolina!!Estimate","66,293"
    Built 1970 to 1979,"142,515","Wake County, North Carolina!!Estimate","41,964"
    Built 1960 to 1969,"125,418","Wake County, North Carolina!!Estimate","24,092"
    Built 1950 to 1959,"97,176","Wake County, North Carolina!!Estimate","16,086"
    Built 1940 to 1949,"26,180","Wake County, North Carolina!!Estimate","7,646"
    Built 1939 or earlier,"34,076","Wake County, North Carolina!!Estimate","7,833"
ROOMS,,"Wake County, North Carolina!!Estimate",
    Total housing units,"631,955","Wake County, North Carolina!!Estimate","372,737"
    1 room,"18,306","Wake County, North Carolina!!Estimate","4,268"
    2 rooms,"25,842","Wake County, North Carolina!!Estimate","7,586"
    3 rooms,"77,744","Wake County, North Carolina!!Estimate","29,642"
    4 rooms,"122,207","Wake County, North Carolina!!Estimate","59,866"
    5 rooms,"113,419","Wake County, North Carolina!!Estimate","62,916"
    6 rooms,"108,419","Wake County, North Carolina!!Estimate","58,007"
    7 rooms,"77,656","Wake County, North Carolina!!Estimate","47,210"
    8 rooms,"46,464","Wake County, North Carolina!!Estimate","38,393"
    9 rooms or more,"41,898","Wake County, North Carolina!!Estimate","64,849"
    Median rooms,5.1,"Wake County, North Carolina!!Estimate",5.9
BEDROOMS,,"Wake County, North Carolina!!Estimate",
    Total housing units,"631,955","Wake County, North Carolina!!Estimate","372,737"
    No bedroom,"19,944","Wake County, North Carolina!!Estimate","4,653"
    1 bedroom,"89,100","Wake County, North Carolina!!Estimate","34,341"
    2 bedrooms,"162,836","Wake County, North Carolina!!Estimate","85,233"
    3 bedrooms,"202,224","Wake County, North Carolina!!Estimate","148,674"
    4 bedrooms,"122,330","Wake County, North Carolina!!Estimate","79,473"
    5 or more bedrooms,"35,521","Wake County, North Carolina!!Estimate","20,363"
HOUSING TENURE,,"Wake County, North Carolina!!Estimate",
    Occupied housing units,"599,235","Wake County, North Carolina!!Estimate","338,054"
    Owner-occupied,"342,955","Wake County, North Carolina!!Estimate","224,624"
    Renter-occupied,"256,280","Wake County, North Carolina!!Estimate","113,430"
    Average household size of owner-occupied unit,3.01,"Wake County, North Carolina!!Estimate",2.75
    Average household size of renter-occupied unit,2.86,"Wake County, North Carolina!!Estimate",2.37
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Wake County, North Carolina!!Estimate",
    Occupied housing units,"599,235","Wake County, North Carolina!!Estimate","338,054"
    Moved in 2005 or later,"282,245","Wake County, North Carolina!!Estimate","190,593"
    Moved in 2000 to 2004,"101,772","Wake County, North Carolina!!Estimate","61,962"
    Moved in 1990 to 1999,"101,476","Wake County, North Carolina!!Estimate","51,726"
    Moved in 1980 to 1989,"50,775","Wake County, North Carolina!!Estimate","17,772"
    Moved in 1970 to 1979,"35,403","Wake County, North Carolina!!Estimate","10,232"
    Moved in 1969 or earlier,"27,564","Wake County, North Carolina!!Estimate","5,769"
VEHICLES AVAILABLE,,"Wake County, North Carolina!!Estimate",
    Occupied housing units,"599,235","Wake County, North Carolina!!Estimate","338,054"
    No vehicles available,"31,267","Wake County, North Carolina!!Estimate","15,887"
    1 vehicle available,"168,953","Wake County, North Carolina!!Estimate","110,880"
    2 vehicles available,"249,590","Wake County, North Carolina!!Estimate","144,133"
    3 or more vehicles available,"149,425","Wake County, North Carolina!!Estimate","67,154"
HOUSE HEATING FUEL,,"Wake County, North Carolina!!Estimate",
    Occupied housing units,"599,235","Wake County, North Carolina!!Estimate","338,054"
    Utility gas,"401,603","Wake County, North Carolina!!Estimate","147,026"
"    Bottled, tank, or LP gas","8,862","Wake County, North Carolina!!Estimate","16,502"
    Electricity,"178,541","Wake County, North Carolina!!Estimate","171,229"
"    Fuel oil, kerosene, etc.",462,"Wake County, North Carolina!!Estimate","1,575"
    Coal or coke,0,"Wake County, North Carolina!!Estimate",0
    Wood,"1,887","Wake County, North Carolina!!Estimate","1,091"
    Solar energy,850,"Wake County, North Carolina!!Estimate",0
    Other fuel,"1,238","Wake County, North Carolina!!Estimate",132
    No fuel used,"5,792","Wake County, North Carolina!!Estimate",499
SELECTED CHARACTERISTICS,,"Wake County, North Carolina!!Estimate",
    Occupied housing units,"599,235","Wake County, North Carolina!!Estimate","338,054"
    Lacking complete plumbing facilities,"3,645","Wake County, North Carolina!!Estimate",776
    Lacking complete kitchen facilities,"6,765","Wake County, North Carolina!!Estimate","1,703"
    No telephone service available,"10,027","Wake County, North Carolina!!Estimate","6,511"
OCCUPANTS PER ROOM,,"Wake County, North Carolina!!Estimate",
    Occupied housing units,"599,235","Wake County, North Carolina!!Estimate","338,054"
    1.00 or less,"551,916","Wake County, North Carolina!!Estimate","330,284"
    1.01 to 1.50,"32,292","Wake County, North Carolina!!Estimate","6,206"
    1.51 or more,"15,027","Wake County, North Carolina!!Estimate","1,564"
VALUE,,"Wake County, North Carolina!!Estimate",
    Owner-occupied units,"342,955","Wake County, North Carolina!!Estimate","224,624"
"    Less than $50,000","7,522","Wake County, North Carolina!!Estimate","6,275"
"    $50,000 to $99,999","9,155","Wake County, North Carolina!!Estimate","8,192"
"    $100,000 to $149,999","4,362","Wake County, North Carolina!!Estimate","33,656"
"    $150,000 to $199,999","5,612","Wake County, North Carolina!!Estimate","41,619"
"    $200,000 to $299,999","16,502","Wake County, North Carolina!!Estimate","61,025"
"    $300,000 to $499,999","70,855","Wake County, North Carolina!!Estimate","53,938"
"    $500,000 to $999,999","161,903","Wake County, North Carolina!!Estimate","17,272"
"    $1,000,000 or more","67,044","Wake County, North Carolina!!Estimate","2,647"
    Median (dollars),"639,400","Wake County, North Carolina!!Estimate","232,800"
MORTGAGE STATUS,,"Wake County, North Carolina!!Estimate",
    Owner-occupied units,"342,955","Wake County, North Carolina!!Estimate","224,624"
    Housing units with a mortgage,"256,276","Wake County, North Carolina!!Estimate","184,459"
    Housing units without a mortgage,"86,679","Wake County, North Carolina!!Estimate","40,165"
SELECTED MONTHLY OWNER COSTS (SMOC),,"Wake County, North Carolina!!Estimate",
    Housing units with a mortgage,"256,276","Wake County, North Carolina!!Estimate","184,459"
    Less than $300,441,"Wake County, North Carolina!!Estimate",216
    $300 to $499,"1,586","Wake County, North Carolina!!Estimate","1,536"
    $500 to $699,"2,152","Wake County, North Carolina!!Estimate","4,407"
    $700 to $999,"4,788","Wake County, North Carolina!!Estimate","18,284"
"    $1,000 to $1,499","16,484","Wake County, North Carolina!!Estimate","62,193"
"    $1,500 to $1,999","28,710","Wake County, North Carolina!!Estimate","45,699"
"    $2,000 or more","202,115","Wake County, North Carolina!!Estimate","52,124"
    Median (dollars),"2,994","Wake County, North Carolina!!Estimate","1,552"
    Housing units without a mortgage,"86,679","Wake County, North Carolina!!Estimate","40,165"
    Less than $100,"1,051","Wake County, North Carolina!!Estimate",50
    $100 to $199,"3,040","Wake County, North Carolina!!Estimate","1,432"
    $200 to $299,"8,855","Wake County, North Carolina!!Estimate","4,619"
    $300 to $399,"14,202","Wake County, North Carolina!!Estimate","7,935"
    $400 or more,"59,531","Wake County, North Carolina!!Estimate","26,129"
    Median (dollars),539,"Wake County, North Carolina!!Estimate",477
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Wake County, North Carolina!!Estimate",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Wake County, North Carolina!!Estimate","183,731"
    Less than 20.0 percent,"61,314","Wake County, North Carolina!!Estimate","74,034"
    20.0 to 24.9 percent,"37,831","Wake County, North Carolina!!Estimate","31,134"
    25.0 to 29.9 percent,"31,228","Wake County, North Carolina!!Estimate","24,304"
    30.0 to 34.9 percent,"27,748","Wake County, North Carolina!!Estimate","13,720"
    35.0 percent or more,"97,215","Wake County, North Carolina!!Estimate","40,539"
    Not computed,940,"Wake County, North Carolina!!Estimate",728
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Wake County, North Carolina!!Estimate","39,783"
    Less than 10.0 percent,"43,387","Wake County, North Carolina!!Estimate","19,599"
    10.0 to 14.9 percent,"14,242","Wake County, North Carolina!!Estimate","7,305"
    15.0 to 19.9 percent,"8,796","Wake County, North Carolina!!Estimate","3,291"
    20.0 to 24.9 percent,"5,781","Wake County, North Carolina!!Estimate","2,416"
    25.0 to 29.9 percent,"2,687","Wake County, North Carolina!!Estimate","1,781"
    30.0 to 34.9 percent,"2,337","Wake County, North Carolina!!Estimate","1,633"
    35.0 percent or more,"7,889","Wake County, North Carolina!!Estimate","3,758"
    Not computed,"1,560","Wake County, North Carolina!!Estimate",382
GROSS RENT,,"Wake County, North Carolina!!Estimate",
    Occupied units paying rent,"250,980","Wake County, North Carolina!!Estimate","110,703"
    Less than $200,"1,021","Wake County, North Carolina!!Estimate","1,690"
    $200 to $299,"5,127","Wake County, North Carolina!!Estimate","2,170"
    $300 to $499,"5,300","Wake County, North Carolina!!Estimate","5,175"
    $500 to $749,"13,324","Wake County, North Carolina!!Estimate","24,699"
    $750 to $999,"26,134","Wake County, North Carolina!!Estimate","43,244"
"    $1,000 to $1,499","90,157","Wake County, North Carolina!!Estimate","25,547"
"    $1,500 or more","109,917","Wake County, North Carolina!!Estimate","8,178"
    Median (dollars),"1,418","Wake County, North Carolina!!Estimate",858
    No rent paid,"5,300","Wake County, North Carolina!!Estimate","2,727"
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Wake County, North Carolina!!Estimate",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Wake County, North Carolina!!Estimate","108,871"
    Less than 15.0 percent,"36,283","Wake County, North Carolina!!Estimate","11,627"
    15.0 to 19.9 percent,"35,384","Wake County, North Carolina!!Estimate","17,253"
    20.0 to 24.9 percent,"29,917","Wake County, North Carolina!!Estimate","15,393"
    25.0 to 29.9 percent,"27,507","Wake County, North Carolina!!Estimate","14,664"
    30.0 to 34.9 percent,"23,888","Wake County, North Carolina!!Estimate","8,336"
    35.0 percent or more,"93,855","Wake County, North Carolina!!Estimate","41,598"
    Not computed,"9,446","Wake County, North Carolina!!Estimate","4,559"
HOUSING OCCUPANCY,,"Wake County, North Carolina!!Estimate Margin of Error",
    Total housing units,"631,955","Wake County, North Carolina!!Estimate Margin of Error","±2,035"
    Occupied housing units,"599,235","Wake County, North Carolina!!Estimate Margin of Error","±3,843"
    Vacant housing units,"32,720","Wake County, North Carolina!!Estimate Margin of Error","±3,374"
    Homeowner vacancy rate,1.8,"Wake County, North Carolina!!Estimate Margin of Error",±0.6
    Rental vacancy rate,4.1,"Wake County, North Carolina!!Estimate Margin of Error",±1.8
UNITS IN STRUCTURE,,"Wake County, North Carolina!!Estimate Margin of Error",
    Total housing units,"631,955","Wake County, North Carolina!!Estimate Margin of Error","±2,035"
"    1-unit, detached","332,653","Wake County, North Carolina!!Estimate Margin of Error","±4,202"
"    1-unit, attached","68,576","Wake County, North Carolina!!Estimate Margin of Error","±2,651"
    2 units,"14,314","Wake County, North Carolina!!Estimate Margin of Error","±1,066"
    3 or 4 units,"38,225","Wake County, North Carolina!!Estimate Margin of Error","±2,068"
    5 to 9 units,"35,293","Wake County, North Carolina!!Estimate Margin of Error","±2,287"
    10 to 19 units,"31,079","Wake County, North Carolina!!Estimate Margin of Error","±3,201"
    20 or more units,"92,993","Wake County, North Carolina!!Estimate Margin of Error","±2,834"
    Mobile home,"18,161","Wake County, North Carolina!!Estimate Margin of Error","±1,970"
"    Boat, RV, van, etc.",661,"Wake County, North Carolina!!Estimate Margin of Error",±289
YEAR STRUCTURE BUILT,,"Wake County, North Carolina!!Estimate Margin of Error",
    Total housing units,"631,955","Wake County, North Carolina!!Estimate Margin of Error","±2,035"
    Built 2005 or later,"27,044","Wake County, North Carolina!!Estimate Margin of Error","±3,315"
    Built 2000 to 2004,"37,364","Wake County, North Carolina!!Estimate Margin of Error","±3,613"
    Built 1990 to 1999,"66,881","Wake County, North Carolina!!Estimate Margin of Error","±4,034"
    Built 1980 to 1989,"75,301","Wake County, North Carolina!!Estimate Margin of Error","±3,464"
    Built 1970 to 1979,"142,515","Wake County, North Carolina!!Estimate Margin of Error","±3,218"
    Built 1960 to 1969,"125,418","Wake County, North Carolina!!Estimate Margin of Error","±2,320"
    Built 1950 to 1959,"97,176","Wake County, North Carolina!!Estimate Margin of Error","±2,040"
    Built 1940 to 1949,"26,180","Wake County, North Carolina!!Estimate Margin of Error","±1,352"
